CELL_TYPE,SHAPE,MAX_SHEAR,WSR_ID,MXDV,CELL_ID,ZTIME,AZIMUTH,RANGE
TVS,POINT (-84.1882604515891 39.2732607972655),51,KCVG,92,V8,2024-07-30T05:37:45Z,39,29
TVS,POINT (-84.1610911527572 39.2990919193416),54,KCVG,109,K9,2024-07-30T05:37:45Z,39,31
TVS,POINT (-86.2209700168253 38.0865844615557),55,KSDF,104,Q3,2024-07-30T05:37:48Z,275,29
TVS,POINT (-84.1230000164862 39.2881500264759),25,KDAY,64,M6,2024-07-30T05:39:54Z,180,44
TVS,POINT (-86.2209700168253 38.0865844615557),28,KSDF,51,Q3,2024-07-30T05:40:58Z,275,29
TVS,POINT (-84.0735631825728 39.289145205683),20,KDAY,53,I6,2024-07-30T05:42:44Z,177,44
TVS,POINT (-84.0462282403171 39.340767367242),28,KDAY,73,I6,2024-07-30T05:42:44Z,175,41
TVS,POINT (-84.1095536337086 39.2626818506222),50,KCVG,96,T9,2024-07-30T05:43:44Z,45,31
TVS,POINT (-84.0790362338012 39.2861441891795),44,KCVG,90,E0,2024-07-30T05:43:44Z,45,33
TVS,POINT (-84.1098581046249 39.4383572979127),39,KDAY,82,C3,2024-07-30T05:45:54Z,179,35
TVS,POINT (-86.1585341595238 38.074982577054),50,KSDF,80,Q3,2024-07-30T05:46:57Z,274,26
TVS,POINT (-83.9785385512078 39.3135699381206),26,KDAY,70,C3,2024-07-30T05:48:44Z,171,43
TVS,POINT (-83.9737193276463 39.3649098381868),36,KDAY,87,C3,2024-07-30T05:48:44Z,170,40
TVS,POINT (-83.9531096821485 39.4019554117174),43,KDAY,101,C3,2024-07-30T05:48:44Z,168,38
TVS,POINT (-84.0799927297397 39.2118418227795),47,KCVG,89,T9,2024-07-30T05:49:44Z,51,30
TVS,POINT (-83.9056762799897 39.2905020097621),28,KDAY,78,D4,2024-07-30T05:54:44Z,167,45
TVS,POINT (-94.7118265470565 42.1181125256715),18,KDMX,55,X2,2024-07-30T06:19:31Z,298,50
TVS,POINT (-85.9895605197528 37.9421940751946),83,KSDF,106,G0,2024-07-30T06:22:57Z,251,19
TVS,POINT (-94.6255363155766 42.1310422358163),28,KDMX,82,X2,2024-07-30T06:24:31Z,301,47
TVS,POINT (-94.6370148441978 42.2390833465829),21,KDMX,66,L4,2024-07-30T06:24:31Z,307,51
TVS,POINT (-94.456817956579 42.1111668549108),45,KDMX,111,R4,2024-07-30T06:35:46Z,305,40
TVS,POINT (-94.4901503163209 42.2416065038954),25,KDMX,72,X2,2024-07-30T06:35:46Z,312,46
TVS,POINT (-94.3145855551206 42.1122987952062),33,KDMX,71,X2,2024-07-30T06:46:40Z,311,35
TVS,POINT (-94.2870597001788 42.1349591629806),26,KDMX,58,X2,2024-07-30T06:46:40Z,314,35
TVS,POINT (-94.241894377401 41.990867698923),44,KDMX,78,X2,2024-07-30T06:52:08Z,304,28
TVS,POINT (-94.296413827178 42.127526019042),39,KDMX,87,X2,2024-07-30T06:52:08Z,313,35
TVS,POINT (-93.8066995505551 42.0245002804788),51,KDMX,57,O5,2024-07-30T07:19:19Z,348,18
TVS,POINT (-94.2675900486827 42.4013588465539),21,KDMX,60,J7,2024-07-30T08:01:55Z,329,47
TVS,POINT (-94.2176621248187 42.3652094884587),25,KDMX,68,J7,2024-07-30T08:11:53Z,330,44
TVS,POINT (-92.882242618401 41.1140421160205),19,KDMX,63,Q8,2024-07-30T08:48:51Z,134,53
TVS,POINT (-92.8840382847123 41.1366168627063),17,KDMX,54,Q8,2024-07-30T08:48:51Z,133,52
TVS,POINT (-92.9560979830252 41.2252554343816),19,KDMX,56,Q8,2024-07-30T08:48:51Z,131,46
TVS,POINT (-93.0753866147181 41.2048268820572),22,KDMX,59,Q8,2024-07-30T08:59:47Z,137,43
TVS,POINT (-92.7023582897266 41.4470365012382),17,KDMX,52,H9,2024-07-30T08:59:47Z,110,49
TVS,POINT (-92.6958178645323 41.4604197924518),30,KDMX,92,H9,2024-07-30T09:15:35Z,109,49
TVS,POINT (-96.2993860101159 43.018650074899),25,KFSD,59,E8,2024-07-30T10:32:11Z,151,39
TVS,POINT (-92.6103166479177 41.7110654691579),29,KDMX,91,K3,2024-07-30T10:34:44Z,91,50
TVS,POINT (-96.0434086250857 43.0072805291211),24,KFSD,70,W7,2024-07-30T10:45:14Z,139,46
TVS,POINT (-95.9736966890928 43.0315519794785),23,KFSD,66,W7,2024-07-30T10:45:14Z,135,47
TVS,POINT (-95.9844094272797 42.9565843345899),20,KFSD,64,W7,2024-07-30T10:51:46Z,139,50
TVS,POINT (-93.5001710741364 42.4455235273801),22,KDMX,59,E5,2024-07-30T11:24:39Z,13,44
TVS,POINT (-96.8889261184775 43.2053533899566),50,KFSD,73,U3,2024-07-30T12:36:15Z,197,24
TVS,POINT (-96.6403314351753 43.0585800433535),41,KFSD,82,W4,2024-07-30T12:55:51Z,173,32
TVS,POINT (-94.456817956579 42.1111668549108),26,KDMX,64,P0,2024-07-30T13:15:12Z,305,40
TVS,POINT (-96.4107592938703 42.9453853465149),19,KFSD,50,W4,2024-07-30T13:15:28Z,160,41
TVS,POINT (-95.9556703960293 43.8827211863932),30,KFSD,71,M5,2024-07-30T13:15:28Z,62,38
TVS,POINT (-95.8963054833835 43.828468527891),25,KFSD,62,Z2,2024-07-30T13:21:59Z,68,39
TVS,POINT (-94.1739251470595 42.077902585362),62,KDMX,112,E6,2024-07-30T13:36:54Z,316,29
